Vertex	Adjacent vertexes
192086327	220574391
3439195757	192086327
3708458445	3439195757
4373597400	3708458445
3439289398	4373597400
3439289399	3439289398
2148632655	3439289399
966505785	2148632655
176567992	966505785
1154203934	176567992
513056237	1154203934
1154203853	513056237
1154211995	1154203853
192086923	1154211995
513056236	192086923
1154203800	513056236
176267582	1154203800
1154203972	176267582
3639806337	1154203972
176267581	3639806337
513095401	176267581
176267579	513095401
176267578	176267579
931680706	176267578
176267576	931680706
3729072125	176267576
4035906190	3729072125
1740741119	4035906190
176267575	1740741119
176267573	176267575
176267572	176267573
415369699	176267572
538837615	415369699
1636147264	538837615
176267569	1636147264
538837359	176267569
4043484684	538837359
513530335	4043484684
4043484686	513530335
4043484685	4043484686
4043484687	4043484685
474644253	4043484687
513530361	474644253
992400281	513530361
506695219	992400281
175054394	506695219
802040468	175054394
5897035163	802040468
4856966745	5897035163
175054395	4856966745
992383544	175054395
1103223069	992383544
992383528	1103223069
175054396	992383528
598625521	175054396
4346903982	598625521
598701750	4346903982
175054397	598701750
4401007284	175054397
710082539	4401007284
1387829332	710082539
3881398360	1387829332
552091852	3881398360
1078951779	552091852
1272931716	1078951779
1387829331	1272931716
175054399	1387829331
175054400	175054399
1078951745	175054400
598701751	1078951745
598701742	598701751
1078865639	598701742
3881393100	1078865639
1078865560	3881393100
3881489936	1078865560
1387829350	3881489936
847531513	1387829350
175054404	847531513
416564071	175054404
598701740	416564071
4346949759	598701740
1271727500	4346949759
1809083954	1271727500
2351971123	1809083954
490596679	2351971123
175054405	490596679
793882464	175054405
748779902	793882464
175054406	748779902
847530101	175054406
3639645613	847530101
6473471204	3639645613
2270104649	6473471204
2924608798	2270104649
793142317	2924608798
747722378	793142317
175054407	747722378
747722336	175054407
1768486810	747722336
771597846	1768486810
3639641978	771597846
740705348	3639641978
175054408	740705348
807556849	175054408
2351239237	807556849
223291355	2351239237
708414897	223291355
807556834	708414897
724896212	807556834
223291356	724896212
5027780475	223291356
724896213	5027780475
1615248066	724896213
750355180	1615248066
225648110	750355180
913118169	225648110
223291357	913118169
740705334	223291357
4937881712	740705334
1615251772	4937881712
708414906	1615251772
225604300	708414906
866626944	225604300
1615227523	866626944
2307214095	1615227523
866626598	2307214095
225658109	866626598
1991814307	225658109
6736437442	1991814307
6736437446	6736437442
760261946	6736437446
6736457109	760261946
807615544	6736457109
293107382	807615544
6684811656	293107382
410062605	6684811656
410062604	410062605
4006840293	410062604
6010618467	4006840293
225604293	6010618467
6010618466	225604293
1344686793	6010618466
6010618445	1344686793
1108653903	6010618445
3514100851	1108653903
750390129	3514100851
225604290	750390129
750390001	225604290
3701676381	750390001
3514100852	3701676381
410056358	3514100852
598408634	410056358
6736437450	598408634
410056357	6736437450
694066120	410056357
658993526	694066120
2373086511	658993526
803416079	2373086511
293106130	803416079,803415854
4353602429	293106130
3659743618	3659743627
3659743617	3659743618
1616510403	3659743617
1393258931	1616510403
1393258892	1393258931
412368495	1393258892
1393258932	412368495
1616510462	1393258932
1393258933	1616510462
7200398937	1393258933
7200398940	7200398937
4621749893	7200398940
5614762283	4621749893
412368496	5614762283
4621749892	412368496
4621749891	4621749892
5614762202	4621749891
412368500	5614762202
3598444235	412368500
412368501	3598444235
1506172938	412368501
5614762226	1506172938
4621749898	5614762226
4621749899	4621749898
4621749900	4621749899
412368502	4621749900
4621749897	412368502
4726087577	4621749897
4621749896	4726087577
412368503	4621749896
477707973	412368503
1440042192	477707973
2141524543	1440042192
2141524538	2141524543
768520311	2141524538
2970412269	768520311
409769015	2970412269
3122368904	409769015
915838100	3122368904
409769014	915838100
1071128515	409769014
648168652	1071128515
1860714789	648168652
1071128573	1860714789
1071128522	1071128573
409769012	1071128522
4625250951	409769012
730502552	4625250951
856326944	730502552
730502473	856326944
4032463643	730502473
856326931	4032463643
2368611037	856326931
2368611032	2368611037
2368611025	2368611032
2368611019	2368611025
730502503	2368611019
783673834	730502503
952139698	783673834
783673820	952139698
768975980	783673820
925654363	768975980
409770814	925654363
888125746	409770814
486026990	888125746
796138292	486026990
796138243	796138292
737808397	796138243
409740819	737808397
802058260	409740819
988962487	802058260
2351239238	988962487
880119990	2351239238
410194944	880119990
1464784335	410194944
5566471106	1464784335
1464784331	5566471106
1005013635	1464784331
4362402889	1005013635
175127331	4362402889
4362401881	175127331
453996241	4362401881
453996225	453996241
4362401877	453996225
175126202	4362401877,1464784325
1005013637	175126202
1464784317	1005013637
5566471643	1464784317
710340578	5566471643
605440955	710340578
4467629158	605440955
760953106	4467629158
710340601	760953106
474431407	710340601
710333855	474431407
