Vertex	Adjacent vertexes
2608499945	243796221
243796220	2608499945
243796371	243796220
3337980887	243796371
243796219	3337980887
243796218	243796219
3164330143	243796218
3337980886	3164330143
2874344600	3337980886
243796189	2874344600
1362587213	243796189
3266906071	1362587213
1362575766	3266906071
3266906067	1362575766
243796175	3266906067
1102902718	243796175
243796188	1102902718
297003622	243796188
243796187	297003622
3637086743	243796187
3637086744	3637086743
243796186	3637086744
3637086745	243796186
243796185	3637086745
2370597789	243796185
938284043	2370597789
412747181	938284043
536496878	412747181
4353588538	536496878
175394255	4353588538
2370597771	175394255
536496965	2370597771
243796174	536496965
1005022141	243796174
4353588514	1005022141
1008219966	4353588514
4538141798	1008219966
2875300111	4538141798
175394257	2875300111
3637086758	175394257
459485884	3637086758
2639651868	459485884
3309953085	2639651868
619677055	3309953085
175394258	619677055
1738289069	175394258
175394259	1738289069
175394260	175394259
2116210465	175394260
656499268	2116210465
175394261	656499268
175397209	175394261
839065962	175397209
1419923444	839065962
459436065	1419923444
1371051144	459436065
3137267940	1371051144
3207250367	3137267940
3639208467	3207250367
645034776	3639208467
645034729	645034776
360179251	645034729
5725243887	360179251
459785149	5725243887
5725243888	459785149
176132465	5725243888
4346966253	176132465
2315711621	4346966253
645034841	2315711621
2045030901	645034841
1741004731	2045030901
928405846	1741004731
2203319016	928405846
1741004711	2203319016
176179609	1741004711
943972574	176179609
2045030848	943972574
176179610	2045030848
740946324	176179610
5516193369	740946324
176179611	5516193369
5516193368	176179611
2045030947	5516193368
176179613	2045030947
176179614	176179613
3215687783	176179614
176179615	3215687783
2045030941	176179615
3987390340	2045030941
176179616	3987390340
176179617	176179616
1405591090	176179617
176179618	1405591090
3215687782	176179618
3215687781	3215687782
176179619	3215687781
176179620	176179619
687668870	176179620
176179621	687668870
687668868	176179621
176180269	687668868
2045031011	176180269
176180270	2045031011
2045031008	176180270
1405591084	2045031008
176180272	1405591084
3208422453	176180272
700919126	3208422453
3137267946	700919126
663606420	3137267946
176180273	663606420
763375431	176180273
3718810171	763375431
2046596502	3718810171
2045030868	2046596502
763375388	2045030868
763386390	763375388
175129449	763386390
1412634110	175129449
1412634104	1412634110
3684358044	1412634104,802052861
220497815	3684358044
411226195	220497815
3706390529	411226195
2351239260	3706390529
3215618357	2351239260
