Vertex	Adjacent vertexes
448422237	1512464998
1984002411	448422237
4355063732	1984002411
412753568	4355063732
1984002410	412753568
1987991650	1984002410
1910990227	1987991650
1910990228	1910990227
1910990235	1910990228
1910990221	1910990235
1910990236	1910990221
433731410	1910990236
1536912244	433731410
3054968770	1536912244
195061455	3054968770
1090645905	195061455
195060476	1090645905
3311544670	195060476
181288157	3311544670
1025562849	181288157
412697267	1025562849
5737554688	412697267
5737554689	5737554688
505367996	5737554689
1070573524	505367996
3481386811	1070573524
4355049343	3481386811
505368453	4355049343
5241196897	505368453
5241197539	5241196897
5241188372	5241197539
5241191015	5241188372
3616594348	5241191015
3481386812	3616594348
3481386813	3481386812
985057383	3481386813
1500458366	985057383
4087692842	1500458366
4555415842	4087692842
1491177966	4555415842
2875397450	1491177966
1491177963	2875397450
2875325588	1491177963
181290017	2875325588
3215081023	181290017
1485899951	3215081023
3215081014	1485899951
2474225454	3215081014
432323906	2474225454,2947841597
2947841595	432323906
1674168423	2947841595
1674168444	1674168423
456680663	1674168444
1674168214	456680663
4424835870	181287733
929949599	4424835870
181287732	929949599
4424835872	181287732
412721978	4424835872
983604123	412721978
4120645458	983604123
706989579	4120645458
939075289	706989579
4355104557	939075289
412699767	4355104557
939075324	412699767
6600449775	939075324
3461280274	6600449775
3614121213	3461280274
939075323	3614121213
3614121214	939075323
1457869689	3614121214
1457869686	1457869689
5619777650	1457869686
1664763084	5619777650
5619777666	1664763084
2889233117	5619777666
939075322	2889233117
416554219	939075322
4355104538	416554219
939075291	4355104538
4355104543	939075291
3614121196	4355104543
3614121194	3614121196
3614117930	3614121194
416555919	3614117930
2894795626	416555919
416555921	2894795626
3475031527	416555921
416555936	3475031527
416555943	416555936
2639265937	416555943
416555928	2639265937
416555927	416555928
416555926	416555927
416555925	416555926
3378251122	416555925
416555924	3378251122
2864108587	416555924
416555923	2864108587
416555922	416555923
1548964700	416555922
1771674241	1548964700
416557709	1771674241
416557711	416557709
456681514	416557711
4355119016	456681514
416557712	4355119016
1771674246	416557712
4120892034	1771674246
1778188132	4120892034
1778188039	1778188132
1778188028	1778188039
1778188014	1778188028
1778187987	1778188014
1778187984	1778187987
181289682	1778187984
461614134	181289682
1778187941	461614134
1778188018	1778187941
1778188076	1778188018
1778188140	1778188076
1778188250	1778188140
1327780235	1778188250
1778188355	1327780235
1778188395	1778188355
1778188410	1778188395
2873850980	1778188410
461614112	2873850980
2873850977	461614112
432332399	2873850977
432335162	432332399
3717980312	432335162
181289660	3717980312
4612558585	181289660
937458252	4612558585
1674168846	937458252
2873847991	1674168846
937458239	2873847991
431197437	937458239
431197436	431197437
3652728158	431197436
3652737168	3652728158
431197435	3652737168
413320642	431197435
431778106	413320642
431778425	431778106
542063619	431778425
1650614567	542063619
432323910	1650614567
2620216168	432323910
601326643	2620216168
2620216147	601326643
892665050	2620216147
938295861	892665050
2947841597	938295861
