Vertex	Adjacent vertexes
212641548	212641546
1990653936	212641548
212641550	1990653936
956784985	212641550
212641552	956784985
1617470225	212641552
639030525	1617470225
3514082273	639030525
3870405541	3514082273
633565264	3870405541
645014704	633565264
3870405540	645014704
1366840050	3870405540
414443436	1366840050
956784996	414443436
1002961495	956784996
1015462003	1002961495
176195127	1015462003
761892230	176195127
1014889790	761892230
1014889818	1014889790
1014889834	1014889818
1210715148	1014889834
414443365	1210715148
1210715159	414443365
1615202173	1210715159
1013584132	1615202173
1211036398	1013584132
1762953418	1211036398
692583139	1762953418
1762953391	692583139
1013584122	1762953391
1014889831	1013584122
1350075461	1014889831
1005027688	1350075461
414443319	1005027688
2194134315	414443319
2351239267	2194134315
2274023060	2351239267
412413111	2274023060
761892197	412413111
2351239266	761892197
1772850451	2351239266
2041910153	1772850451
416794945	2041910153
5107242023	416794945
2861412279	5107242023
5143361523	2861412279
5160697450	5143361523
5107229764	5160697450
5164560609	5107229764
5156320905	5164560609
5164503420	5156320905
5107229797	5164503420
503136594	5107229797
314571919	503136594
419241705	314571919
179399587	419241705
314574202	179399587
314574330	314574202
179399589	314574330
212656270	179399589
419237268	212656270
5877654967	419237268
419237269	5877654967
1616486769	419237269
5107229769	1616486769
5107229773	5107229769
5291390230	5107229773
5107229782	5291390230
5107229787	5107229782
5165089652	5107229787
5107229790	5165089652
5107229768	5107229790,5165089654
5165089653	5107229768
5107229784	5165089653
5107229770	5107229784
179399592	5107229770
548486932	179399592,192138568
459503017	533560152
4353602424	459503017
1971425451	4353602424
459503013	1971425451
685035025	459503013
803416030	685035025
293106029	803416030
230710523	293106029
928001300	230710523
685035018	928001300
6824854859	685035018
410056359	6824854859
6823202757	410056359
6824854860	6823202757
230710522	6824854860
928003989	230710522
7140584201	928003989
686183160	7140584201
750389973	686183160
176176328	750389973
806396383	176176328
3700921719	806396383
410055100	3700921719
176176327	410055100
3689569432	176176327
2339120997	3689569432
212641538	2339120997
1636383781	212641538
3711914797	1636383781
3813615494	3711914797
212642551	3813615494
3514094829	212642551
2339120979	3514094829
2471636810	2339120979
2068584504	2471636810
212641540	2068584504
807615524	212641540
2471636809	807615524
3514094828	2471636809
2068584452	3514094828
4625250963	2068584452
807615517	4625250963
225658112	807615517
807615550	225658112
1278990843	807615550
2351239232	1278990843
212641542	2351239232
1990653939	212641542
212641545	1990653939
212641546	212641545
417750942	3849202445
1256329611	417750942
412519592	1256329611
1256329601	412519592
1256329564	1256329601
412519591	1256329564
1256329549	412519591
220529460	1256329549
220529458	220529460
5954102749	220529458
220529457	5954102749
220529456	220529457
220529454	220529456
220545099	220529454
1256349296	220545099
1256360880	1256349296
603476800	1256360880
6588441853	603476800
3774595669	6588441853
1256360960	3774595669
192148291	1256360960
3774595672	192148291
645118655	3774595672
415291706	645118655
1256403525	415291706
1256403455	1256403525
415291705	1256403455
4555632894	415291705
645118652	4555632894
192135439	645118652
1165404293	192135439
3236233283	1165404293
1617622087	3236233283
1789091000	1617622087
1233423567	1789091000
919489252	1233423567
1789090997	919489252
3236233282	1789090997
2271565753	3236233282
192135438	2271565753
2271565752	192135438
1617622128	2271565752
2271565749	1617622128
3236233281	2271565749
1105800699	3236233281
919489262	1105800699
2351239230	919489262
192133840	2351239230
579524815	192133840
192127240	579524815,882723119
803386813	192127240
415284262	803386813
192138588	415284262
192138586	192138588
2436426339	192138586
2283152141	2436426339
192138584	2283152141
2436426326	192138584
192138583	2436426326
5091590380	192138583
192138582	5091590380
192138581	192138582
192138580	192138581
579522936	192138580
579522935	579522936
192138579	579522935
2969610339	192138579
1617625923	2969610339
2436426342	1617625923
192138577	2436426342
1261848178	192138577
2436426308	1261848178
192138575	2436426308
2969610334	192138575
192138573	2969610334
192138572	192138573
415284764	192138572
2436426347	415284764
2969610333	2436426347
2436426353	2969610333
192138571	2436426353
192138570	192138571
535218790	192138570
2436426337	535218790
2436426310	2436426337
470780470	2436426310
5291386564	470780470
3837099649	5291386564
192138568	3837099649,4982485220
3762196302	3762196310
314570110	3762196302
3762161327	314570110
3762161329	3762161327
3762161333	3762161329
1617623155	3762161333
3762161338	1617623155
192116652	3762161338
2305251529	192116652
419241712	2305251529
761516373	419241712
419241714	761516373
192116655	419241714
2451526883	192116655
3773117015	2451526883
3773117009	3773117015
413537596	3773117009
1110021206	413537596
3773117005	1110021206
413541334	3773117005
3773116998	413541334
192134076	3773116998
1005027641	192134076
192117340	1005027641
646933192	192117340
5594612654	646933192
2331369469	5594612654
1399617091	2331369469
470780460	1399617091
2331369446	470780460
1081735743	2331369446
419237255	1081735743
5563345992	419237255
2340084795	5563345992
2340084790	2340084795
548487596	2340084790
2340084773	548487596
1387064781	2340084773
192128662	1387064781
5165089654	192128662
175266190	2154033676
1188750416	175266190
2481321237	1188750416
175266189	2481321237
2154033686	175266189
175266188	2154033686
175266186	175266188
2286534982	175266186
175266185	2286534982
411722268	175266185
175266184	411722268
2154033725	175266184
1188750672	2154033725
175266182	1188750672
175266181	175266182
2154033730	175266181
175266178	2154033730
3479548206	175266178
411722260	3479548206
175266176	411722260
3479548204	175266176
175266175	3479548204
2399985904	175266175
2857562855	2399985904
2436426304	2857562855
2436426331	2436426304
2436426360	2436426331
175266170	2436426360
175266166	175266170
2467622430	175266166
175266164	2467622430
2342943881	175266164
175266162	2342943881
2467622429	175266162
175266160	2467622429
175266158	175266160
175266157	175266158
175266156	175266157
175266155	175266156
412691267	175266155
803387158	412691267
175266154	803387158
175258850	175266154
6953667482	175258850
220514987	6953667482
2351239250	220514987
506257546	2351239250
2351239251	506257546
1617598412	2351239251
2037817537	1617598412
415292534	2037817537
314567316	415292534
589848974	314567316
415284257	589848974
415284256	415284257
1624969708	415284256
314567657	1624969708
1624969711	314567657
2351239228	1624969711
882723119	2351239228
1140378625	1140378623
1139495271	1140378625
1139496793	1139495271
1139462967	1139496793
175251276	1139462967
1188671914	175251276
1139462949	1188671914
1139462946	1139462949
175250668	1139462946
241893778	175250668
175266228	241893778
175266224	175266228
175266222	175266224
2939644920	175266222
175266219	2939644920
175266217	175266219
175266215	175266217
175266214	175266215
456228025	175266214
175266208	456228025
457829211	175266208
175266207	457829211
175266205	175266207
764923424	175266205
175266203	764923424
1628030485	175266203
175266200	1628030485
175266198	175266200
175266197	175266198
5687763498	175266197
175266194	5687763498
764884296	175266194
2154033676	764884296
5556369665	3733978193
3733978188	5556369665
3755404831	3733978188
5716925461	3755404831
2469929166	5716925461
3755408813	2469929166
4246484023	3755408813
2442167423	4246484023
5556542275	2442167423
2442167453	5556542275
2096688387	2442167453
2469929167	2096688387
4333490215	2469929167
5716926306	4333490215
5556229499	5716926306
2096688391	5556229499
2442167543	2096688391
2469929170	2442167543
5556229833	2469929170
3733994274	5556229833
2469929626	3733994274
2096688405	2469929626
2469929174	2096688405
2469929175	2469929174
2469929176	2469929175
2469929177	2469929176
5556229690	2469929177
2469929178	5556229690
2096688411	2469929178
2439051143	2096688411
2439051152	2439051143
4246484030	2439051152
2469929179	4246484030
2096688413	2469929179
5556229489	2096688413
2096688416	5556229489
2096688418	2096688416
3629637847	2096688418
2469929181	3629637847
1133645608	2469929181
2469929182	1133645608
4246484036	2469929182
879368462	4246484036
2469929183	879368462
411829205	2469929183
430574314	411829205
984092498	430574314
984092502	984092498
411829204	984092502
1623633446	411829204
411829203	1623633446
411829202	411829203
635773286	411829202
635773285	635773286
411829201	635773285
984099090	411829201
879368394	984099090
411829200	879368394
411829199	411829200
4158902081	411829199
411829198	4158902081
4422004676	411829198
4158902073	4422004676
4158902074	4158902073
6307849408	4158902074
411829197	6307849408
1918379287	411829197
1103056157	1918379287
411829196	1103056157
411829195	411829196
879368407	411829195
411829194	879368407
7161678351	411829194
1918379378	7161678351
411829193	1918379378
1607970313	411829193
1607970365	1607970313
825443861	1607970365
179399605	825443861
825443859	179399605
7161678343	825443859
825444071	7161678343
7161678348	825444071
825443119	7161678348
179399603	825443119
2609073824	179399603
2436426311	2609073824
179399597	2436426311
2431222034	179399597
179399596	2431222034
535218777	179399596
2888591070	535218777
4982485220	2888591070
