Vertex	Adjacent vertexes
420035415	420035417
1647471809	420035415
1783786586	1647471809
3392082804	1783786586
420035414	3392082804
3392082803	420035414
420035412	3392082803
1783786457	420035412
3392082802	1783786457
3289778029	3392082802
1792845683	3289778029
3289778028	1792845683
420035410	3289778028
1792845322	420035410
3392082801	1792845322
3862052260	3392082801
3392082800	3862052260
1792845041	3392082800
3392082799	1792845041
1331753964	3392082799
3392094083	1331753964
420035408	3392094083
1647471798	420035408
3289778008	1647471798
3392094082	3289778008
5491019875	3392094082
412820524	5491019875
3862052261	412820524
3771629341	3862052261
584698559	3771629341
584698457	584698559
1319121218	584698457
192291050	1319121218
412820523	192291050
1030505918	412820523
1225080904	1030505918
412820522	1225080904
3392094081	412820522
412820521	3392094081
412820520	412820521
3392094080	412820520
412820519	3392094080
3392094079	412820519
412820518	3392094079
3392094078	412820518
412820517	3392094078
3392094077	412820517
412820516	3392094077
915652036	412820516
3472688579	915652036
1494200964	3472688579
4393341411	1494200964
420036626	4393341411
915652041	420036626
1489398116	915652041
1470630250	1489398116
3771608546	1470630250
412820514	3771608546
3771608545	412820514
3822933016	3771608545
1030484659	3822933016
2807181778	1030484659
1325231112	2807181778
915652050	1325231112
3475024498	915652050
528622877	3475024498
915652110	528622877
3475024497	915652110
915652019	3475024497
4886960048	915652019
6953777999	4886960048
6342426053	6953777999
4355096542	6342426053
4355096541	4355096542
175036128	4355096541
412820513	175036128
6953777998	412820513
3755440497	6953777998
241918728	3755440497
3755440494	241918728
241918727	3755440494
241918726	241918727
241918725	241918726
3547038515	241918725
241918767	3547038515
591780190	241918767,3633972762
175075312	591780190
175071713	175075312
175075311	175071713
3755440414	175075311
319892993	3755440414
319892986	319892993
175075309	319892986
6178139900	175075309
175075308	6178139900
6178139899	175075308
924038221	6178139899
3310552782	924038221
3310552781	3310552782
878558350	3310552781
1354254467	878558350
894575678	1354254467
241920422	894575678
902473679	241920422
902472598	902473679
1635434464	902472598
3574486195	1635434464
848409925	3574486195
3061382828	848409925
3061382825	3061382828
1699849797	3061382825
241920421	1699849797
850452037	241920421
1834514130	850452037
1270340157	1834514130
175031590	1270340157
175031589	175031590
175031587	175031589
453226366	175031587
175031586	453226366
175031584	175031586
175031583	175031584
412496987	175031583
175031582	412496987
175031581	175031582
412496968	175031581
802037703	412496968
175031579	802037703
802037629	175031579
176530988	802037629
3535239447	176530988
