Vertex	Adjacent vertexes
2152896657	2152851733
806279553	2152896657
176203293	806279553
412486513	176203293
4346949770	412486513
1263024089	4346949770
4346949774	1263024089
806279559	4346949774
2252086450	806279559
212617843	2252086450
4346949778	212617843
780943748	4346949778
780943749	780943748
220626598	780943749
793882392	220626598
740474702	793882392
220646593	740474702
740471787	220646593
703084592	740471787
793883531	703084592
220659131	793883531
750352630	220659131
2270104929	750352630
703084591	2270104929
476284129	703084591
704288816	476284129
973652780	704288816
960223144	973652780
923871210	960223144
2320008594	923871210
2320008602	2320008594
6736437405	2320008602
2320008609	6736437405
176144588	2320008609
806275554	176144588
212609464	806275554
3939255339	212609464
636984050	3939255339
636984032	636984050
1740108196	636984032
2351239271	1740108196
740705369	2351239271
1030347394	740705369
1387234856	1030347394
2908690120	1387234856
1387234854	2908690120
1387234852	1387234854
1017887591	1387234852
4355578113	1017887591
2908690121	4355578113
4355578105	2908690121
1387213387	4355578105
1387234841	1387213387
1387213384	1387234841
2351239276	1387213384
1387213376	2351239276
212609457	1387213376
212609456	212609457
1615248064	212609456
2307214105	1615248064
866626622	2307214105
225604300	866626622
866626944	225604300
1615227523	866626944
2307214095	1615227523
866626598	2307214095
225658109	866626598
1991814307	225658109
6736437442	1991814307
6736437446	6736437442
760261946	6736437446
6736457109	760261946
807615544	6736457109
293107382	807615544
6684811656	293107382
410062605	6684811656
410062604	410062605
4006840293	410062604
6010618467	4006840293
225604293	6010618467
6010618466	225604293
1344686793	6010618466
6010618445	1344686793
1108653903	6010618445
3514100851	1108653903
750390129	3514100851
225604290	750390129
750390001	225604290
3701676381	750390001
3514100852	3701676381
410056358	3514100852
598408634	410056358
6736437450	598408634
410056357	6736437450
694066120	410056357
658993526	694066120
2373086511	658993526
803416079	2373086511
293106130	803416079,803415854
4353602429	293106130
878988809	878988830
128741430	878988809
1362282179	128741430
878988827	1362282179
175368636	878988827
878988792	175368636
128741429	878988792
175368635	128741429
3908619329	175368635
128741428	3908619329
175368634	128741428
878988814	175368634
128741427	878988814
175368631	128741427
128741426	175368631
3908619330	128741426
878988788	3908619330
175368629	878988788
5741839805	175368629
878988813	5741839805
128741425	878988813
734830012	128741425
878988831	734830012
878988805	878988831
128741424	878988805
734830013	128741424
879007234	734830013
879007240	879007234
128741423	879007240
879007238	128741423
175368627	879007238
175368626	175368627
734830014	175368626
1987516724	734830014
128741422	1987516724
175368623	128741422
128741421	175368623
879007235	128741421
704267968	879007235
1038388038	704267968
5497035779	1038388038
128741420	5497035779
1038387669	128741420
280300510	1038387669
280299782	280300510
280300543	280299782
3954534597	280300543
280299522	3954534597
280299839	280299522
280299530	280299839
280299529	280299530
280299528	280299529
280299527	280299528
280299393	280299527
3954534600	280299393
280299381	3954534600
280298533	280299381
3954534572	280298533
176677228	3954534572
176677226	176677228
176677224	176677226
414117911	176677224
414117887	414117911
176677223	414117887
6710015656	176677223
5760377699	6710015656
6710015655	5760377699
1314948701	6710015655
176677221	1314948701
6710015661	176677221
4407072626	6710015661
414566398	4407072626
5760377705	414566398
6710015660	5760377705
6342415514	6710015660
176677219	6342415514
176677218	176677219
176677217	176677218
1698392226	176677217
1698392206	1698392226
176677214	1698392206
176677213	176677214
176677211	176677213
176677210	176677211
4185009995	176677210
176677209	4185009995
176677208	176677209
176677207	176677208
414567183	176677207
176677206	414567183
3225428957	176677206
176677204	3225428957
310251858	176677204
1291749564	310251858
3225428956	1291749564
176677203	3225428956
176677202	176677203
3225428963	176677202
176677200	3225428963
458889115	176677200
176677198	458889115
176677197	176677198
176677195	176677197
7124583783	176677195
176677194	7124583783
1263204066	176677194
3225428962	1263204066
176677192	3225428962
3581103509	176677192
176677191	3581103509
3581103508	176677191
176677190	3581103508
176677189	176677190
1037480168	176677189
458889254	1037480168
176677187	458889254
176677186	176677187
6551605855	176677186
3581103507	6551605855
458884189	3581103507
2317915186	458884189
7124583784	2317915186
3581103494	7124583784
176677184	3581103494
176677183	176677184
1037470149	176677183
3225428955	1037470149
6551605827	3225428955
176677180	6551605827
412750017	176677180
176677179	412750017
176677178	176677179
176677177	176677178
2347129144	176677177
176677175	2347129144
435341205	176677175
176670269	435341205
176670266	176670269
435341202	176670266
176670264	435341202
176670263	176670264
3225428961	176670263
176670262	3225428961
6551567171	176670262
435322583	6551567171
3225428960	435322583
1367635985	3225428960
176668374	1367635985
2347129117	176668374
3225428954	2347129117
176668373	3225428954
1387782407	176668373
3225428953	1387782407
7124592185	3225428953
435328522	7124592185
2343175444	435328522
2109315553	2343175444
1184114948	2109315553
176696076	1184114948
176697860	176696076
176699630	176697860
176668371	176699630
1184115049	176668371
1184115045	1184115049
3822984194	1184115045
176668369	3822984194
3822984192	176668369
176668368	3822984192
1184114912	176668368
1184115021	1184114912
410992895	1184115021
176668367	410992895
459511261	176668367
418998762	459511261
2893885312	418998762
418998761	2893885312
2375079028	418998761
1270279166	2375079028
418997823	1270279166
2872487735	418997823
412262632	2872487735
807600587	412262632
179414096	807600587
470354271	179414096
3178287322	470354271
470354232	3178287322
470354177	470354232
673537482	470354177
673537474	673537482
470354178	673537474
176668360	470354178
1352400623	176668360
2112395507	1352400623
791267460	2112395507
4347164029	791267460
192192660	4347164029
